OrderID,CustomerID,OrderDate,PaymentMethod,OrderStatus,TotalAmount
1,96,2025-05-20,UPI,Shipped,213635.6
2,17,2025-06-09,UPI,Delivered,346268.75
3,34,2025-04-08,NetBanking,Cancelled,468745.2
4,11,2025-05-01,Cash,Pending,41305.0
5,84,2025-01-18,NetBanking,Delivered,233806.4
6,73,2025-02-25,UPI,Cancelled,454658.9
7,14,2025-05-29,NetBanking,Pending,57685.25
8,10,2025-06-01,Cash,Delivered,317851.75
9,65,2025-06-15,NetBanking,Pending,229070.4
10,56,2025-02-15,Cash,Pending,552027.65
11,12,2025-03-13,NetBanking,Cancelled,288604.4
12,24,2025-05-05,Cash,Cancelled,13972.5
13,72,2025-01-03,NetBanking,Delivered,487299.8
14,12,2025-03-17,Cash,Shipped,126687.6
15,71,2025-05-16,Cash,Cancelled,225406.05
16,33,2025-03-01,Card,Pending,90549.0
17,25,2025-02-25,Cash,Pending,367021.1
18,39,2025-01-04,Card,Delivered,236200.1
19,74,2025-03-14,NetBanking,Delivered,180576.15
20,9,2025-04-13,Card,Pending,80593.85
21,16,2025-05-23,NetBanking,Shipped,570398.75
22,39,2025-05-31,UPI,Pending,288030.0
23,34,2025-06-19,Card,Pending,66234.0
24,1,2025-04-15,Cash,Cancelled,318113.5
25,90,2025-04-27,UPI,Shipped,58510.8
26,15,2025-05-20,UPI,Delivered,31638.6
27,8,2025-02-12,NetBanking,Cancelled,373037.0
28,90,2025-04-14,NetBanking,Cancelled,245712.2
29,78,2025-03-06,Cash,Delivered,61856.0
30,98,2025-02-14,NetBanking,Delivered,310487.2
31,61,2025-03-31,NetBanking,Cancelled,57748.05
32,85,2025-04-13,NetBanking,Shipped,532688.5
33,7,2025-02-18,Cash,Shipped,360779.6
34,90,2025-05-05,UPI,Cancelled,283755.5
35,71,2025-01-04,Cash,Shipped,183488.05
36,62,2025-05-01,NetBanking,Pending,335706.25
37,77,2025-05-11,Cash,Shipped,474859.8
38,20,2025-04-25,NetBanking,Pending,249556.55
39,100,2025-04-16,NetBanking,Pending,181437.6
40,64,2025-01-10,Card,Shipped,248436.0
41,13,2025-05-15,NetBanking,Cancelled,190140.5
42,44,2025-06-09,Card,Pending,393602.55
43,81,2025-06-25,NetBanking,Pending,14005.3
44,89,2025-03-18,Cash,Cancelled,74970.0
45,48,2025-04-21,UPI,Pending,73295.5
46,23,2025-01-21,Cash,Shipped,325865.9
47,33,2025-06-20,Card,Shipped,161398.35
48,45,2025-05-31,NetBanking,Shipped,212958.75
49,14,2025-03-02,NetBanking,Cancelled,199066.5
50,2,2025-05-25,UPI,Pending,599446.1
51,80,2025-03-06,Cash,Pending,383406.5
52,12,2025-03-17,Cash,Pending,24901.1
53,33,2025-05-04,UPI,Shipped,58382.65
54,72,2025-04-04,Card,Shipped,33016.5
55,48,2025-06-22,Cash,Pending,238840.25
56,83,2025-01-17,NetBanking,Delivered,366903.5
57,13,2025-03-02,NetBanking,Shipped,593473.3
58,36,2025-01-09,Card,Shipped,594831.6
59,36,2025-02-18,Card,Delivered,67141.25
60,43,2025-03-04,UPI,Pending,88066.0
61,30,2025-03-26,UPI,Pending,67998.6
62,70,2025-03-06,Card,Cancelled,65190.9
63,31,2025-05-31,Card,Delivered,247122.1
64,61,2025-04-25,Card,Cancelled,65287.25
65,59,2025-06-14,NetBanking,Delivered,140093.6
66,63,2025-04-24,Card,Pending,69699.6
67,36,2025-06-09,Card,Delivered,324209.45
68,84,2025-06-16,NetBanking,Delivered,747406.4
69,41,2025-04-20,Card,Delivered,436991.5
70,12,2025-04-21,Card,Cancelled,23543.85
71,86,2025-02-01,Cash,Delivered,214857.0
72,74,2025-05-10,Card,Cancelled,36867.6
73,72,2025-04-05,NetBanking,Delivered,215334.6
74,78,2025-06-18,UPI,Shipped,252073.25
75,9,2025-02-06,UPI,Cancelled,470069.5
76,40,2025-03-25,NetBanking,Shipped,334245.2
77,63,2025-06-05,Card,Cancelled,60299.8
78,87,2025-06-23,Card,Pending,584534.2
79,39,2025-02-24,Cash,Delivered,204001.2
80,1,2025-05-08,Card,Shipped,575881.0
81,3,2025-04-28,NetBanking,Shipped,226797.0
82,38,2025-01-30,NetBanking,Delivered,148809.4
83,32,2025-04-22,Card,Delivered,430536.9
84,68,2025-05-11,UPI,Pending,148556.7
85,14,2025-02-07,NetBanking,Shipped,219785.35
86,97,2025-05-25,NetBanking,Shipped,526417.1
87,81,2025-03-19,NetBanking,Delivered,134005.2
88,8,2025-04-05,NetBanking,Pending,76729.75
89,42,2025-06-04,Card,Pending,55658.6
90,6,2025-03-05,NetBanking,Cancelled,597236.45
91,87,2025-06-03,Cash,Delivered,203967.0
92,72,2025-06-23,UPI,Cancelled,442092.75
93,40,2025-06-17,Card,Shipped,433260.65
94,66,2025-04-03,UPI,Cancelled,74835.3
95,99,2025-05-05,Card,Cancelled,65930.0
96,13,2025-05-10,UPI,Pending,422732.65
97,93,2025-04-23,NetBanking,Cancelled,97860.45
98,97,2025-04-25,NetBanking,Pending,137014.2
99,48,2025-06-23,UPI,Cancelled,521439.95
100,7,2025-06-14,UPI,Cancelled,226464.0
101,58,2025-05-12,NetBanking,Cancelled,75579.15
102,4,2025-04-17,UPI,Shipped,165082.5
103,11,2025-04-06,Cash,Pending,179214.0
104,18,2025-01-10,Card,Delivered,301132.5
105,33,2025-02-25,Card,Cancelled,264014.25
106,31,2025-03-19,NetBanking,Delivered,129223.8
107,15,2025-05-08,Cash,Pending,723110.85
108,74,2025-04-17,Card,Delivered,64719.0
109,50,2025-05-01,Cash,Delivered,117943.2
110,46,2025-01-18,Cash,Cancelled,89014.5
111,83,2025-02-14,UPI,Delivered,192206.5
112,26,2025-01-11,UPI,Cancelled,114878.2
113,46,2025-01-13,UPI,Shipped,223907.8
114,89,2025-05-08,UPI,Cancelled,62016.85
115,42,2025-01-27,NetBanking,Shipped,57777.3
116,22,2025-06-26,Cash,Delivered,262198.9
117,10,2025-06-21,Card,Pending,207167.1
118,100,2025-06-15,NetBanking,Cancelled,336133.75
119,48,2025-04-24,NetBanking,Cancelled,73416.6
120,84,2025-03-13,NetBanking,Shipped,65190.9
121,72,2025-01-31,NetBanking,Pending,215231.3
122,16,2025-02-04,Card,Cancelled,97331.8
123,86,2025-03-30,Card,Pending,452345.25
124,18,2025-03-02,Card,Delivered,368601.4
125,40,2025-04-12,Card,Shipped,436222.8
126,60,2025-06-24,Card,Pending,404025.3
127,39,2025-02-12,Cash,Delivered,38518.2
128,33,2025-02-20,UPI,Cancelled,498661.25
129,73,2025-01-11,UPI,Shipped,22010.4
130,80,2025-06-13,Cash,Shipped,174834.0
131,32,2025-06-25,NetBanking,Shipped,147782.5
132,60,2025-02-22,UPI,Cancelled,295132.5
133,66,2025-05-24,Card,Cancelled,90718.8
134,58,2025-03-05,NetBanking,Shipped,29133.9
135,32,2025-02-10,NetBanking,Shipped,201761.45
136,40,2025-05-08,UPI,Pending,105155.2
137,75,2025-04-01,NetBanking,Cancelled,193835.7
138,69,2025-01-03,Cash,Shipped,143202.6
139,47,2025-01-12,Card,Shipped,479955.6
140,65,2025-04-26,Cash,Cancelled,471134.6
141,97,2025-02-06,Card,Delivered,223052.75
142,5,2025-02-05,UPI,Shipped,352613.65
143,79,2025-03-18,Cash,Cancelled,569848.0
144,87,2025-01-29,Card,Shipped,41488.9
145,22,2025-05-15,UPI,Delivered,577912.0
146,57,2025-03-22,Card,Pending,162425.65
147,67,2025-02-23,Cash,Cancelled,398620.35
148,79,2025-05-04,UPI,Cancelled,46564.2
149,99,2025-03-15,Cash,Delivered,668453.4
150,74,2025-06-23,NetBanking,Cancelled,57647.7
151,96,2025-05-03,Cash,Pending,156438.0
152,14,2025-06-07,Cash,Shipped,96551.85
153,13,2025-06-24,NetBanking,Shipped,302826.75
154,62,2025-06-16,Cash,Delivered,206971.2
155,99,2025-01-23,NetBanking,Pending,129129.2
156,96,2025-03-16,Cash,Cancelled,157995.0
157,59,2025-06-14,UPI,Shipped,308365.6
158,83,2025-03-07,NetBanking,Cancelled,431383.75
159,12,2025-04-13,UPI,Shipped,301967.15
160,97,2025-03-10,UPI,Delivered,147087.7
161,86,2025-01-31,Cash,Pending,80236.8
162,29,2025-02-04,UPI,Pending,283954.0
163,88,2025-06-02,Card,Delivered,135741.6
164,8,2025-05-21,NetBanking,Delivered,242371.5
165,66,2025-04-25,NetBanking,Delivered,120147.5
166,72,2025-04-29,Card,Shipped,345512.55
167,45,2025-06-29,NetBanking,Delivered,58005.0
168,37,2025-04-15,Cash,Shipped,78548.5
169,58,2025-04-07,UPI,Shipped,213684.0
170,68,2025-02-02,UPI,Pending,573778.2
171,59,2025-03-30,Card,Shipped,96986.0
172,79,2025-01-05,Card,Shipped,72612.0
173,77,2025-06-22,Card,Pending,336624.45
174,65,2025-03-16,Cash,Pending,126643.5
175,39,2025-02-06,Card,Cancelled,293688.3
176,83,2025-06-21,NetBanking,Pending,224255.6
177,97,2025-05-18,NetBanking,Shipped,242440.25
178,72,2025-05-16,UPI,Cancelled,77625.0
179,83,2025-01-21,NetBanking,Delivered,218314.95
180,10,2025-02-18,UPI,Pending,248598.5
181,95,2025-01-31,Cash,Shipped,591682.4
182,60,2025-05-17,UPI,Cancelled,72409.45
183,41,2025-04-16,Card,Cancelled,83662.7
184,71,2025-05-30,NetBanking,Cancelled,292155.4
185,33,2025-05-06,UPI,Delivered,281846.85
186,68,2025-01-09,NetBanking,Pending,71910.0
187,81,2025-03-01,UPI,Shipped,71428.0
188,48,2025-01-16,Card,Delivered,186811.3
189,68,2025-03-12,UPI,Pending,526455.4
190,80,2025-05-15,NetBanking,Pending,70771.8
191,90,2025-02-27,NetBanking,Shipped,115656.4
192,8,2025-06-13,NetBanking,Shipped,115508.0
193,83,2025-03-26,Card,Cancelled,296725.4
194,70,2025-05-25,Cash,Pending,556035.5
195,73,2025-03-03,Card,Delivered,495623.25
196,56,2025-03-01,Cash,Delivered,229772.0
197,82,2025-03-11,NetBanking,Delivered,162431.8
198,99,2025-06-08,NetBanking,Pending,47629.85
199,95,2025-04-10,Cash,Cancelled,53912.75
200,14,2025-02-03,NetBanking,Delivered,135153.4
201,4,2025-01-23,Cash,Shipped,403256.5
202,50,2025-01-22,Cash,Cancelled,192217.9
203,64,2025-02-07,NetBanking,Cancelled,115624.8
204,62,2025-01-20,UPI,Cancelled,289429.6
205,1,2025-04-12,UPI,Cancelled,150513.75
206,42,2025-06-04,Cash,Shipped,368432.1
207,36,2025-04-11,NetBanking,Pending,350546.8
208,57,2025-03-16,NetBanking,Shipped,513314.45
209,10,2025-04-25,Card,Pending,395368.75
210,85,2025-06-20,Cash,Shipped,235292.25
211,14,2025-01-03,NetBanking,Cancelled,2597.3
212,51,2025-04-29,NetBanking,Delivered,125211.15
213,15,2025-02-06,Cash,Shipped,281349.4
214,13,2025-04-23,Card,Pending,157260.2
215,95,2025-03-04,UPI,Shipped,515236.95
216,51,2025-01-08,Cash,Delivered,251349.1
217,74,2025-01-27,NetBanking,Shipped,168245.3
218,76,2025-01-30,UPI,Cancelled,236606.25
219,16,2025-03-03,NetBanking,Pending,364514.45
220,74,2025-04-09,NetBanking,Cancelled,443550.25
221,18,2025-02-17,UPI,Pending,98979.0
222,50,2025-05-24,Card,Pending,437805.2
223,38,2025-01-09,Card,Delivered,357699.6
224,35,2025-05-20,NetBanking,Delivered,413420.25
225,95,2025-06-17,Cash,Cancelled,23489.75
226,12,2025-04-23,Cash,Shipped,104539.9
227,22,2025-06-07,Cash,Cancelled,145224.0
228,77,2025-05-18,Cash,Delivered,57777.3
229,18,2025-04-16,UPI,Pending,92136.7
230,92,2025-03-24,UPI,Cancelled,256890.4
231,81,2025-04-17,Cash,Shipped,82663.4
232,63,2025-03-25,UPI,Shipped,338860.8
233,28,2025-05-07,Cash,Delivered,300827.4
234,6,2025-01-26,UPI,Cancelled,476099.5
235,21,2025-03-12,Card,Cancelled,188233.2
236,86,2025-06-16,UPI,Shipped,273650.4
237,84,2025-01-24,Card,Delivered,587962.7
238,90,2025-03-29,Card,Pending,77195.3
239,50,2025-01-23,Card,Pending,313893.45
240,57,2025-03-31,Card,Pending,440414.45
241,97,2025-02-01,UPI,Cancelled,246150.3
242,100,2025-06-26,UPI,Shipped,165607.8
243,38,2025-06-15,Card,Pending,123641.0
244,64,2025-06-13,Cash,Pending,308324.95
245,98,2025-05-01,Card,Cancelled,248860.0
246,28,2025-01-11,NetBanking,Shipped,165082.5
247,90,2025-04-13,Cash,Delivered,155619.5
248,40,2025-01-21,UPI,Delivered,427774.05
249,32,2025-01-23,Card,Delivered,544533.75
250,91,2025-02-05,Card,Delivered,274877.1
251,43,2025-04-20,Cash,Delivered,325934.2
252,64,2025-05-26,Card,Delivered,72181.8
253,30,2025-05-11,Card,Shipped,23740.5
254,47,2025-04-09,UPI,Cancelled,48903.05
255,32,2025-04-17,Card,Shipped,274128.5
256,9,2025-04-30,Card,Cancelled,222748.25
257,26,2025-03-16,UPI,Delivered,263891.05
258,53,2025-01-07,Cash,Delivered,174015.0
259,98,2025-06-18,NetBanking,Shipped,183878.7
260,8,2025-02-06,UPI,Shipped,186294.5
261,10,2025-06-01,Cash,Cancelled,441266.9
262,58,2025-03-11,Card,Pending,14354.5
263,14,2025-02-12,UPI,Shipped,466662.0
264,40,2025-04-29,UPI,Cancelled,228944.0
265,19,2025-01-24,NetBanking,Shipped,173572.5
266,72,2025-05-21,UPI,Delivered,129484.0
267,2,2025-01-16,Cash,Delivered,29331.8
268,75,2025-05-31,Card,Cancelled,196310.85
269,16,2025-01-11,Card,Shipped,432260.7
270,88,2025-04-20,Cash,Cancelled,9832.5
271,58,2025-02-08,Cash,Shipped,3923.5
272,53,2025-05-21,UPI,Pending,157647.8
273,81,2025-05-20,NetBanking,Cancelled,8162.55
274,73,2025-05-09,Card,Cancelled,142212.6
275,8,2025-05-01,Card,Pending,59669.05
276,74,2025-04-10,Cash,Pending,367993.5
277,73,2025-02-18,Card,Pending,112181.5
278,78,2025-02-26,Cash,Pending,150824.0
279,17,2025-03-29,Card,Cancelled,193385.2
280,91,2025-06-19,UPI,Shipped,118298.85
281,82,2025-05-05,Cash,Pending,478021.1
282,23,2025-01-01,Card,Shipped,489441.75
283,19,2025-03-26,Cash,Pending,138124.25
284,32,2025-06-27,Card,Delivered,62898.0
285,50,2025-04-23,UPI,Pending,128474.95
286,58,2025-01-19,Cash,Delivered,43105.5
287,10,2025-03-29,Card,Cancelled,6402.0
288,77,2025-06-07,UPI,Delivered,389599.7
289,13,2025-03-26,Cash,Cancelled,262051.2
290,31,2025-01-25,UPI,Delivered,155911.25
291,47,2025-01-01,Card,Pending,227234.0
292,22,2025-06-13,NetBanking,Cancelled,162243.4
293,12,2025-06-14,NetBanking,Shipped,258917.6
294,34,2025-02-27,NetBanking,Pending,125149.6
295,71,2025-01-16,NetBanking,Cancelled,250922.75
296,11,2025-04-12,UPI,Pending,470910.85
297,17,2025-01-11,Cash,Delivered,151443.6
298,12,2025-04-10,UPI,Pending,164538.75
299,73,2025-05-31,NetBanking,Shipped,504223.7
300,74,2025-06-05,Card,Shipped,283815.85
