OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Discount
1,1,29,4,34700,15
2,1,63,1,53628,15
3,1,35,3,19636,15
4,2,4,5,59738,0
5,2,51,1,36685,15
6,2,76,2,9645,15
7,3,28,3,79376,10
8,3,59,4,70675,10
9,4,96,5,8261,0
10,5,6,2,24990,5
11,5,97,1,76656,5
12,5,4,2,59738,5
13,6,90,3,57754,5
14,6,33,5,58012,0
15,7,40,5,13573,15
16,8,81,3,67989,0
17,8,32,5,17246,0
18,8,14,3,10845,15
19,9,2,4,52665,0
20,9,54,4,5114,10
21,10,67,5,53325,15
22,10,84,4,69716,15
23,10,35,5,19636,10
24,11,32,4,17246,15
25,11,97,3,76656,0
26,12,46,3,5175,10
27,13,25,4,72792,15
28,13,11,5,24456,5
29,13,31,4,36365,15
30,14,52,2,70382,10
31,15,55,5,45409,10
32,15,96,3,8261,15
33,16,93,2,50305,10
34,17,62,5,39463,10
35,17,36,1,48493,5
36,17,93,3,50305,5
37,18,69,1,76119,0
38,18,17,5,17254,10
39,18,36,2,48493,15
40,19,62,3,39463,5
41,19,57,1,75674,10
42,20,10,1,7555,5
43,20,74,2,40787,10
44,21,78,5,52483,5
45,21,77,5,75554,15
46,22,40,5,13573,0
47,22,73,5,44033,0
48,23,21,2,34860,5
49,24,89,4,68427,10
50,24,77,1,75554,5
51,25,88,2,32506,10
52,26,83,2,17577,10
53,27,77,5,75554,10
54,27,96,4,8261,0
55,28,65,4,55208,15
56,28,70,1,58005,0
57,29,12,2,30928,0
58,30,67,4,53325,10
59,30,84,2,69716,15
60,31,43,1,3348,5
61,31,42,3,21399,15
62,32,5,3,72945,10
63,32,59,3,70675,0
64,32,12,4,30928,0
65,33,47,4,26258,15
66,33,80,1,55824,5
67,33,97,3,76656,5
68,34,4,5,59738,5
69,35,53,1,34337,15
70,35,12,1,30928,5
71,35,29,4,34700,10
72,36,59,5,70675,5
73,37,18,4,41541,10
74,37,9,5,62593,10
75,37,36,1,48493,10
76,38,62,5,39463,15
77,38,45,4,20966,10
78,38,43,2,3348,5
79,39,41,4,53364,15
80,40,65,5,55208,10
81,41,2,2,52665,15
82,41,93,2,50305,0
83,42,51,3,36685,15
84,42,84,3,69716,15
85,42,11,5,24456,0
86,43,30,1,6758,15
87,43,96,1,8261,0
88,44,6,3,24990,0
89,45,32,5,17246,15
90,46,49,2,3201,15
91,46,80,5,55824,5
92,46,88,2,32506,15
93,47,60,3,56631,5
94,48,82,3,32762,15
95,48,55,3,45409,5
96,49,74,5,40787,10
97,49,46,3,5175,0
98,50,100,5,55021,15
99,50,96,3,8261,5
100,50,7,5,76014,10
101,51,97,2,76656,0
102,51,93,1,50305,10
103,51,99,4,46205,0
104,52,96,2,8261,5
105,52,54,2,5114,10
106,53,96,1,8261,15
107,53,44,1,54064,5
108,54,51,1,36685,10
109,55,87,4,62316,10
110,55,34,1,1367,5
111,55,75,4,3301,0
