ProductID,ProductName,Category,Brand,Price,Stock
1,Product 1,Laptop,HP,63753,256
2,Product 2,Laptop,Nike,52665,472
3,Product 3,Mobile,Samsung,49772,11
4,Product 4,Home,Dell,59738,156
5,Product 5,Home,Boat,72945,348
6,Product 6,Home,Samsung,24990,161
7,Product 7,Laptop,Apple,76014,386
8,Product 8,Fashion,Apple,41204,39
9,Product 9,Mobile,Sony,62593,267
10,Product 10,Fashion,Samsung,7555,270
11,Product 11,Mobile,Nike,24456,45
12,Product 12,Fashion,Apple,30928,216
13,Product 13,Mobile,Sony,32371,306
14,Product 14,Fashion,Apple,10845,224
15,Product 15,Fashion,Sony,68622,171
16,Product 16,Accessory,Samsung,41280,132
17,Product 17,Accessory,HP,17254,353
18,Product 18,Accessory,HP,41541,485
19,Product 19,Mobile,Apple,60168,328
20,Product 20,Fashion,Apple,9702,285
21,Product 21,Laptop,Sony,34860,77
22,Product 22,Accessory,Apple,32118,199
23,Product 23,Accessory,Samsung,57533,436
24,Product 24,Fashion,Boat,39751,323
25,Product 25,Fashion,Apple,72792,163
26,Product 26,Mobile,Samsung,34764,69
27,Product 27,Mobile,Boat,72612,89
28,Product 28,Accessory,Dell,79376,117
29,Product 29,Accessory,Samsung,34700,268
30,Product 30,Home,Dell,6758,57
31,Product 31,Home,Nike,36365,32
32,Product 32,Mobile,Dell,17246,336
33,Product 33,Accessory,Samsung,58012,292
34,Product 34,Home,Sony,1367,67
35,Product 35,Mobile,Boat,19636,289
36,Product 36,Mobile,Nike,48493,308
37,Product 37,Fashion,Samsung,56433,75
38,Product 38,Mobile,Dell,47895,470
39,Product 39,Mobile,Dell,27635,359
40,Product 40,Laptop,Boat,13573,191
41,Product 41,Fashion,Nike,53364,327
42,Product 42,Laptop,Samsung,21399,419
43,Product 43,Laptop,HP,3348,101
44,Product 44,Accessory,Nike,54064,420
45,Product 45,Laptop,Dell,20966,413
46,Product 46,Mobile,HP,5175,449
47,Product 47,Home,Samsung,26258,428
48,Product 48,Home,Dell,40101,430
49,Product 49,Laptop,Samsung,3201,347
50,Product 50,Laptop,HP,43125,152
51,Product 51,Mobile,Nike,36685,189
52,Product 52,Fashion,HP,70382,179
53,Product 53,Mobile,Apple,34337,101
54,Product 54,Fashion,Dell,5114,65
55,Product 55,Fashion,HP,45409,383
56,Product 56,Accessory,HP,79557,271
57,Product 57,Mobile,HP,75674,107
58,Product 58,Accessory,Apple,57254,10
59,Product 59,Fashion,Nike,70675,361
60,Product 60,Laptop,Dell,56631,45
61,Product 61,Accessory,Sony,41245,349
62,Product 62,Mobile,Boat,39463,269
63,Product 63,Accessory,Boat,53628,177
64,Product 64,Home,Boat,38852,293
65,Product 65,Laptop,Samsung,55208,350
66,Product 66,Home,Boat,22910,325
67,Product 67,Fashion,Dell,53325,290
68,Product 68,Mobile,Dell,37706,117
69,Product 69,Home,Nike,76119,320
70,Product 70,Accessory,HP,58005,236
71,Product 71,Laptop,Sony,62121,416
72,Product 72,Laptop,Boat,11214,155
73,Product 73,Fashion,Boat,44033,57
74,Product 74,Laptop,Boat,40787,125
75,Product 75,Laptop,Samsung,3301,33
76,Product 76,Laptop,HP,9645,243
77,Product 77,Home,Boat,75554,109
78,Product 78,Home,HP,52483,134
79,Product 79,Laptop,Boat,826,467
80,Product 80,Mobile,Nike,55824,122
81,Product 81,Laptop,Nike,67989,247
82,Product 82,Mobile,Sony,32762,479
83,Product 83,Mobile,HP,17577,420
84,Product 84,Home,Boat,69716,296
85,Product 85,Fashion,Dell,58108,323
86,Product 86,Fashion,HP,71910,238
87,Product 87,Laptop,Boat,62316,240
88,Product 88,Accessory,Nike,32506,440
89,Product 89,Accessory,Nike,68427,258
90,Product 90,Laptop,Dell,57754,49
91,Product 91,Accessory,Samsung,35714,181
92,Product 92,Accessory,Sony,10661,80
93,Product 93,Laptop,Samsung,50305,365
94,Product 94,Laptop,Boat,28143,42
95,Product 95,Home,HP,43469,287
96,Product 96,Home,HP,8261,115
97,Product 97,Home,HP,76656,494
98,Product 98,Mobile,Nike,75556,204
99,Product 99,Home,Apple,46205,162
100,Product 100,Home,Nike,55021,285
